url,label
pastehtml.com/view/befh6nbj6.html,0
any-village.com/UK/England/Gloucestershire/Tarlton/home.aspx,1
youtube.com/watch?v=pDzaswZgE1Q,1
en.wikipedia.org/wiki/KPIX-TV,1
https://elite-bldg.com/.0/lin/lin/,0
ultrachange24.pw,0
http://www.zdnet.com/article/geek-sheet-configuring-synergy2-to-share-keyboard-video-and-mouse/,1
https://www.ts3card.9bx0yc.afojigtsuy.shop,0
screenonline.org.uk/people/id/446775/,1
studiodearhitectura.ro/wp-content/plugins/akismet/cgi-bin/7cec8e57b8c93d65fd64735bd646164650343ac7931b5455db0bc8c0df1c50be/dfrdtregfrgtretrg4tetfret4t56,0
wallpapers91.com,0
https://cinxcchytb.duckdns.org/,0
wn.com/Sepahan_FC,1
en.wikipedia.org/wiki/Montag,1
https://www.ukessays.com/essays/transportation/traffic-congestion.php,1
atimixdistribuidora.com.br,0
en.wikipilipinas.org/index.php?title=Olympic_Games,1
www.forums-managementz.tk/login.asp?ref=https:/us.battle.net/account/management/index.xml&amp,0
youtube.com/watch?v=MMHHY59XbbU,1
oregonlive.com/forums/pep/index.ssf?artid=27825,1
youtube.com/watch?v=98C4Ss9RUcU,1
famous-relationships.topsynergy.com/Gabriel-Aubry/,1
aubergemanoir.foodpages.ca/,1
spiderbites.nytimes.com/filmography/b/00004.html,1
ca.sports.yahoo.com/nhl/players/4132,1
https://s.ameanzeoz.icu/,0
http://callusmiller.com/flycarfe/ghssjkdet/login.php,0
paypal.com.update-account-information-webscrcmdaccountnav-0.04fs6sd54s3dv3sd7dvs369sdv13s25ef4d4ew7c52a65aef2sfgfg6dsfsjk.popup-expo.fr/href/secure/center/update/limit/seccure/38f1f03c96b481fa7fe74f28bb1471ad/,0
bearbenz.org/l9n1qdvfbys7hu270819/b/xDEsdR/dm9yenRhZC5iaXoMessage-ID:,0
sjsj.3owl.com/scott.html,0
ohcy.org,0
familyorigins.com/users/s/t/g/Bob--Stgelais/FAMO1-0001/d644.htm,1
presidency.ucsb.edu/ws/index.php?pid=15980,1
en.wikipedia.org/wiki/Seanna_Mitchell,1
deckgamez.com/wp-content/plugins/docsign/es/,0
city-data.com/city/Berkeley-California.html,1
vacesvideke.hu,0
spermelo.top,0
https://srnbc-card.com.sx96a0.cn/,0
calbears.com/sports/m-footbl/spec-rel/083011aaa.html,1
