url,label,domain,subdomain,tld,domain_len,subdomain_count,path_len,path_token_count,path_entropy,path_digit_ratio,url_len,has_at_symbol,hyphen_count,param_count,is_https,domain_age_days,domain_exp_days
quantummana.com/,1,quantummana,,com,11,0,16,1,3.1556390622295662,0.0,16,0,0,0,0,-1,-1
invoices190.online,0,invoices190,,online,11,0,18,1,3.4193819456463714,0.16666666666666666,18,0,0,0,0,-1,-1
newyork.citysearch.com/,1,citysearch,newyork,com,10,1,23,1,3.8820451081368623,0.0,23,0,0,0,0,10889,67
https://www.eposcaed.co.jp.74tv.cn/,0,74tv,www.eposcaed.co.jp,cn,4,4,1,0,-0.0,0.0,35,0,0,0,1,345,19
secure2-accountapps.serveirc.com,0,serveirc,secure2-accountapps,com,8,1,32,1,3.777518266288633,0.03125,32,0,1,0,0,9175,685
signalarethreetime.info,0,signalarethreetime,,info,18,0,23,1,3.6211755429194707,0.0,23,0,0,0,0,-1,-1
https://www.acosoeu-ascaosneouu.wiguyc.top/ic6oXx7P3s/page1.php,0,wiguyc,www.acosoeu-ascaosneouu,top,6,2,21,2,4.070656113151928,0.19047619047619047,63,0,1,0,1,-1,-1
https://www.eki-net-members.02qss1p.cn/,0,02qss1p,www.eki-net-members,cn,7,2,1,0,-0.0,0.0,39,0,2,0,1,-1,-1
ok.ppgo.asia/login/en/login.html,0,ppgo,ok,asia,4,1,32,4,3.73345859334435,0.0,32,0,0,0,0,-1,-1
dodgy-coordinations.000webhostapp.com,0,000webhostapp,dodgy-coordinations,com,13,1,37,1,4.100816878908575,0.08108108108108109,37,0,1,0,0,3413,1334
leredsite.herokuapp.com,0,herokuapp,leredsite,com,9,1,23,1,3.8279097821439696,0.0,23,0,0,0,0,5474,734
http://dev.klinikmatanusantara.com/log-au/mpp/signin/59b6/websrc,0,klinikmatanusantara,dev,com,19,1,30,5,4.119902579793958,0.1,64,0,1,0,0,7818,216
antiqueshoppesusa.com/missouriantiques.htm,1,antiqueshoppesusa,,com,17,0,42,2,3.8379314105134203,0.0,42,0,0,0,0,7182,122
groutpro.com.au,0,groutpro,,com.au,8,0,15,1,3.1898980954642875,0.0,15,0,0,0,0,-1,-1
pradlolux.cz/system/helper/,0,pradlolux,,cz,9,0,27,3,4.0043444463675275,0.0,27,0,0,0,0,-1,-1
